4117271;Nova Tebas;9.476;3.807;3.582;2.891;4.498;7.389
4117297;Novo Itacolomi;2.866;1.485;1.342;1.588;1.239;2.827
4117305;Ortigueira;25.216;12.067;11.297;9.574;13.790;23.364
4117404;Ourizona;3.396;1.703;1.677;3.042;338;3.380
4117453;Ouro Verde do Oeste;5.472;2.865;2.825;4.040;1.650;5.690
4117503;Paiçandu;30.764;17.840;18.101;35.450;491;35.941
4117602;Palmas;34.819;21.180;21.707;39.803;3.084;42.887
4117701;Palmeira;30.847;16.046;16.079;19.376;12.749;32.125
4117800;Palmital;16.958;7.515;7.355;7.403;7.467;14.870
4117909;Palotina;25.771;14.003;14.689;24.655;4.037;28.692
4118006;Paraíso do Norte;9.739;5.856;5.925;11.108;673;11.781
4118105;Paranacity;9.109;5.115;5.141;9.475;781;10.256
4118204;Paranaguá;127.339;69.301;71.149;135.405;5.045;140.450
4118303;Paranapoema;2.393;1.383;1.408;2.500;291;2.791
4118402;Paranavaí;75.750;39.285;42.310;77.733;3.862;81.595
4118451;Pato Bragado;4.049;2.367;2.456;2.991;1.832;4.823
4118501;Pato Branco;62.234;34.984;37.389;68.093;4.280;72.373
4118600;Paula Freitas;5.060;2.800;2.630;2.748;2.682;5.430
4118709;Paulo Frontin;6.565;3.634;3.279;2.173;4.740;6.913
4118808;Peabiru;13.487;6.733;6.889;11.009;2.613;13.622
4118857;Perobal;5.291;2.824;2.824;3.081;2.567;5.648
4118907;Pérola;9.282;5.004;5.204;8.069;2.139;10.208
4119004;Pérola d'Oeste;7.354;3.403;3.361;3.190;3.574;6.764
4119103;Piên;9.798;5.745;5.469;4.514;6.700;11.214
4119152;Pinhais;102.985;56.895;60.271;117.166;0;117.166
4119251;Pinhal de São Bento;2.560;1.365;1.255;1.162;1.458;2.620
4119202;Pinhalão;6.217;3.163;3.047;3.921;2.289;6.210
4119301;Pinhão;28.408;15.192;15.041;15.323;14.910;30.233
4119400;Piraí do Sul;21.647;11.621;11.804;16.104;7.321;23.425
4119509;Piraquara;72.886;48.220;45.059;45.779;47.500;93.279
4119608;Pitanga;35.861;16.247;16.398;20.587;12.058;32.645
4119657;Pitangueiras;2.418;1.441;1.373;2.040;774;2.814
4119707;Planaltina do Paraná;3.992;2.074;2.021;2.774;1.321;4.095
4119806;Planalto;14.122;6.851;6.817;6.080;7.588;13.668
4119905;Ponta Grossa;273.616;151.429;160.268;304.841;6.856;311.697
4119954;Pontal do Paraná;14.323;10.355;10.564;20.742;177;20.919
4120002;Porecatu;15.881;7.033;7.150;11.440;2.743;14.183
